expense_id,employee_id,department,job_level,category,amount,currency,expense_date,day_of_week,weekend,submission_hour,travel_distance_km,city,country,receipt_uploaded,manager_approved,claim_delay_days,is_anomaly
EXP00035,EMP126,HR,Junior,MEAL,174.47,MAD,2026-03-29,SUNDAY,1,11,0,Casablanca,Morocco,1,1,5,0
EXP00036,EMP068,Sales,Director,OFFICE_SUPPLIES,291.24,MAD,2026-03-12,THURSDAY,0,8,0,Agadir,Morocco,0,1,6,0
EXP00037,EMP140,IT,Manager,FUEL,337.25,MAD,2026-05-24,SUNDAY,1,8,57,Agadir,Morocco,1,1,2,0
EXP00038,EMP011,HR,Senior,MEAL,116.43,MAD,2026-04-21,TUESDAY,0,10,0,Fès,Morocco,0,1,7,0
EXP00039,EMP040,Sales,Senior,TRAINING,237.63,MAD,2026-01-27,TUESDAY,0,13,0,Rabat,Morocco,1,1,4,0
EXP00040,EMP064,HR,Senior,HOTEL,830.83,MAD,2026-01-07,WEDNESDAY,0,10,170,Fès,Morocco,1,1,6,0
EXP00041,EMP079,Sales,Senior,TRAVEL,392.57,MAD,2026-01-10,SATURDAY,1,15,113,Casablanca,Morocco,1,1,3,0
EXP00042,EMP090,Operations,Director,TRAVEL,432.5,MAD,2026-04-13,MONDAY,0,13,142,Fès,Morocco,1,1,3,0
EXP00043,EMP046,Marketing,Manager,TRAINING,304.25,MAD,2026-05-18,MONDAY,0,13,0,Casablanca,Morocco,1,1,3,0
EXP00044,EMP099,Marketing,Senior,TRAVEL,414.47,MAD,2026-04-22,WEDNESDAY,0,13,160,Marrakech,Morocco,1,1,1,0
EXP00045,EMP051,HR,Director,FUEL,3651.15,MAD,2026-04-22,WEDNESDAY,0,3,0,Casablanca,Morocco,0,0,59,1
EXP00046,EMP130,HR,Director,HOTEL,824.2,MAD,2026-03-26,THURSDAY,0,17,160,Marrakech,Morocco,1,1,3,0
EXP00047,EMP045,Marketing,Manager,FUEL,434.89,MAD,2026-03-17,TUESDAY,0,16,65,Tanger,Morocco,1,1,4,0
EXP00048,EMP083,Finance,Director,TRAVEL,363.18,MAD,2026-01-01,THURSDAY,0,12,146,Tanger,Morocco,1,1,5,0
EXP00049,EMP044,Operations,Junior,MEAL,93.25,MAD,2026-05-11,MONDAY,0,15,0,Marrakech,Morocco,1,1,6,0
EXP00050,EMP080,Sales,Senior,HOTEL,891.7,MAD,2026-06-12,FRIDAY,0,17,171,Rabat,Morocco,1,1,2,0
EXP00051,EMP117,Finance,Senior,CLIENT_MEETING,3022.55,MAD,2026-03-04,WEDNESDAY,0,23,0,Fès,Morocco,0,0,29,1
EXP00052,EMP028,Finance,Senior,MEAL,209.12,MAD,2026-05-07,THURSDAY,0,14,0,Rabat,Morocco,1,1,1,0
EXP00053,EMP032,Finance,Senior,MEAL,129.27,MAD,2026-06-28,SUNDAY,1,16,0,Tanger,Morocco,1,1,7,0
EXP00054,EMP130,Finance,Director,MEAL,117.66,MAD,2026-05-24,SUNDAY,1,17,0,Rabat,Morocco,1,1,4,0
EXP00055,EMP071,Marketing,Director,CLIENT_MEETING,229.93,MAD,2026-05-02,SATURDAY,1,15,0,Fès,Morocco,1,1,6,0
EXP00056,EMP082,Marketing,Junior,OFFICE_SUPPLIES,286.62,MAD,2026-04-23,THURSDAY,0,9,0,Rabat,Morocco,1,1,3,0
EXP00057,EMP105,HR,Director,OFFICE_SUPPLIES,263.15,MAD,2026-04-09,THURSDAY,0,19,0,Tanger,Morocco,1,1,4,0
EXP00058,EMP006,Marketing,Director,MEAL,153.88,MAD,2026-04-18,SATURDAY,1,14,0,Tanger,Morocco,1,1,6,0
EXP00059,EMP138,Operations,Senior,OFFICE_SUPPLIES,2579.97,MAD,2026-04-01,WEDNESDAY,0,3,0,Tanger,Morocco,0,0,51,1
EXP00060,EMP104,Operations,Senior,TRAINING,288.75,MAD,2026-04-22,WEDNESDAY,0,15,0,Tanger,Morocco,0,1,6,0
EXP00061,EMP007,IT,Director,TRAVEL,389.73,MAD,2026-06-09,TUESDAY,0,16,13,Rabat,Morocco,1,1,6,0
EXP00062,EMP087,Finance,Manager,TRAVEL,385.29,MAD,2026-02-16,MONDAY,0,8,133,Tanger,Morocco,1,1,3,0
EXP00063,EMP058,Operations,Junior,OFFICE_SUPPLIES,143.79,MAD,2026-01-21,WEDNESDAY,0,15,0,Fès,Morocco,0,1,3,0
EXP00064,EMP040,Sales,Senior,MEAL,2198.72,MAD,2026-01-08,THURSDAY,0,23,0,Tanger,Morocco,0,0,26,1
EXP00065,EMP043,Marketing,Junior,MEAL,163.82,MAD,2026-05-25,MONDAY,0,11,0,Rabat,Morocco,1,1,3,0
EXP00066,EMP102,Operations,Senior,TRAVEL,393.55,MAD,2026-01-28,WEDNESDAY,0,17,13,Casablanca,Morocco,1,1,4,0
EXP00067,EMP031,Marketing,Junior,HOTEL,866.16,MAD,2026-06-10,WEDNESDAY,0,11,52,Marrakech,Morocco,1,1,6,0
EXP00068,EMP108,Finance,Junior,FUEL,310.3,MAD,2026-06-19,FRIDAY,0,13,35,Tanger,Morocco,1,1,7,0
EXP00069,EMP134,Operations,Manager,OTHER,247.02,MAD,2026-06-12,FRIDAY,0,15,0,Agadir,Morocco,1,1,6,0
EXP00070,EMP069,HR,Senior,MEAL,73.25,MAD,2026-05-18,MONDAY,0,15,0,Casablanca,Morocco,1,1,5,0
EXP00071,EMP098,HR,Junior,MEAL,148.94,MAD,2026-04-26,SUNDAY,1,11,0,Tanger,Morocco,1,1,6,0
EXP00072,EMP072,Marketing,Manager,MEAL,152.41,MAD,2026-02-16,MONDAY,0,15,0,Agadir,Morocco,1,1,3,0
EXP00073,EMP143,Sales,Director,MEAL,3240.15,MAD,2026-02-18,WEDNESDAY,0,3,0,Fès,Morocco,0,0,56,1
EXP00074,EMP063,HR,Manager,MEAL,248.53,MAD,2026-04-25,SATURDAY,1,8,0,Tanger,Morocco,1,1,6,0
EXP00075,EMP117,HR,Manager,CLIENT_MEETING,227.01,MAD,2026-03-30,MONDAY,0,14,0,Marrakech,Morocco,1,1,3,0
EXP00076,EMP048,Sales,Senior,TRAVEL,383.14,MAD,2026-02-19,THURSDAY,0,13,61,Fès,Morocco,1,1,6,0
EXP00077,EMP050,HR,Senior,OTHER,280.69,MAD,2026-05-31,SUNDAY,1,16,0,Marrakech,Morocco,1,1,7,0
EXP00078,EMP142,HR,Senior,FUEL,254.01,MAD,2026-01-04,SUNDAY,1,19,273,Fès,Morocco,1,0,1,0
EXP00079,EMP123,Finance,Manager,MEAL,117.93,MAD,2026-05-06,WEDNESDAY,0,9,0,Rabat,Morocco,1,1,4,0
EXP00080,EMP148,Operations,Junior,HOTEL,905.36,MAD,2026-03-06,FRIDAY,0,15,58,Rabat,Morocco,1,1,1,0
EXP00081,EMP107,Marketing,Senior,HOTEL,814.77,MAD,2026-05-25,MONDAY,0,12,43,Agadir,Morocco,1,1,7,0
EXP00082,EMP146,Marketing,Junior,OFFICE_SUPPLIES,253.08,MAD,2026-04-24,FRIDAY,0,12,0,Agadir,Morocco,1,1,3,0
EXP00083,EMP045,Marketing,Junior,TRAVEL,468.26,MAD,2026-01-26,MONDAY,0,11,108,Rabat,Morocco,1,1,2,0
EXP00084,EMP060,HR,Manager,MEAL,2739.82,MAD,2026-04-26,SUNDAY,1,23,0,Fès,Morocco,0,0,27,1
EXP00085,EMP051,Finance,Junior,HOTEL,884.94,MAD,2026-01-19,MONDAY,0,18,119,Agadir,Morocco,1,1,6,0
EXP00086,EMP079,Marketing,Manager,MEAL,107.51,MAD,2026-02-08,SUNDAY,1,12,0,Tanger,Morocco,1,1,2,0
EXP00087,EMP113,IT,Junior,FUEL,318.94,MAD,2026-06-26,FRIDAY,0,12,206,Tanger,Morocco,1,1,4,0
EXP00088,EMP148,Marketing,Junior,TRAVEL,368.67,MAD,2026-06-04,THURSDAY,0,12,13,Fès,Morocco,1,1,7,0
EXP00089,EMP114,HR,Senior,CLIENT_MEETING,237.12,MAD,2026-05-28,THURSDAY,0,8,0,Agadir,Morocco,1,1,5,0
EXP00090,EMP027,Sales,Manager,TRAINING,282.54,MAD,2026-05-06,WEDNESDAY,0,9,0,Tanger,Morocco,1,1,3,0
EXP00091,EMP010,Finance,Junior,OFFICE_SUPPLIES,200.77,MAD,2026-03-15,SUNDAY,1,18,0,Marrakech,Morocco,1,1,5,0
EXP00092,EMP139,Finance,Director,HOTEL,785.7,MAD,2026-01-30,FRIDAY,0,14,263,Casablanca,Morocco,1,0,7,0
EXP00093,EMP014,Sales,Manager,MEAL,157.39,MAD,2026-04-03,FRIDAY,0,17,0,Agadir,Morocco,1,1,7,0
EXP00094,EMP062,Operations,Senior,TRAINING,260.4,MAD,2026-03-15,SUNDAY,1,15,0,Marrakech,Morocco,1,1,1,0
EXP00095,EMP119,IT,Senior,TRAVEL,431.27,MAD,2026-05-22,FRIDAY,0,14,47,Tanger,Morocco,1,1,1,0
EXP00096,EMP063,Finance,Senior,TRAVEL,420.88,MAD,2026-03-16,MONDAY,0,16,139,Tanger,Morocco,1,1,4,0
EXP00097,EMP071,Finance,Manager,TRAINING,261.88,MAD,2026-06-03,WEDNESDAY,0,16,0,Agadir,Morocco,1,1,1,0
EXP00098,EMP126,Sales,Director,FUEL,272.8,MAD,2026-01-01,THURSDAY,0,12,152,Agadir,Morocco,1,1,6,0
EXP00099,EMP049,Operations,Senior,MEAL,159.29,MAD,2026-03-27,FRIDAY,0,16,0,Agadir,Morocco,1,1,3,0
EXP00100,EMP098,Finance,Senior,TRAINING,261.72,MAD,2026-04-16,THURSDAY,0,8,0,Tanger,Morocco,1,1,7,0
EXP00101,EMP113,IT,Director,MEAL,121.43,MAD,2026-02-02,MONDAY,0,16,0,Casablanca,Morocco,1,1,1,0
EXP00102,EMP068,HR,Director,MEAL,224.63,MAD,2026-04-15,WEDNESDAY,0,18,0,Fès,Morocco,1,1,7,0
EXP00103,EMP125,Marketing,Junior,FUEL,318.95,MAD,2026-03-26,THURSDAY,0,18,273,Agadir,Morocco,1,1,6,0
EXP00104,EMP024,Finance,Junior,MEAL,111.01,MAD,2026-06-11,THURSDAY,0,18,0,Fès,Morocco,1,1,6,0
EXP00105,EMP084,IT,Manager,TRAVEL,431.48,MAD,2026-01-26,MONDAY,0,15,85,Marrakech,Morocco,1,1,1,0
EXP00106,EMP044,Sales,Junior,FUEL,338.54,MAD,2026-02-07,SATURDAY,1,11,271,Agadir,Morocco,1,1,2,0
EXP00107,EMP119,Operations,Manager,FUEL,316.51,MAD,2026-06-08,MONDAY,0,18,123,Tanger,Morocco,1,1,2,0
EXP00108,EMP089,Marketing,Manager,HOTEL,840.18,MAD,2026-01-03,SATURDAY,1,15,147,Fès,Morocco,1,1,4,0
EXP00109,EMP124,IT,Senior,MEAL,119.85,MAD,2026-06-26,FRIDAY,0,12,0,Tanger,Morocco,1,1,4,0
EXP00110,EMP102,HR,Junior,MEAL,146.92,MAD,2026-05-28,THURSDAY,0,12,0,Agadir,Morocco,1,1,7,0
EXP00111,EMP059,Marketing,Manager,TRAINING,263.65,MAD,2026-01-13,TUESDAY,0,17,0,Rabat,Morocco,1,1,3,0
EXP00112,EMP011,HR,Director,HOTEL,850.52,MAD,2026-06-08,MONDAY,0,12,70,Casablanca,Morocco,1,1,6,0
EXP00113,EMP034,Marketing,Manager,HOTEL,908.14,MAD,2026-02-03,TUESDAY,0,9,151,Agadir,Morocco,1,1,2,0
EXP00114,EMP076,Operations,Manager,TRAVEL,425.03,MAD,2026-03-11,WEDNESDAY,0,10,131,Casablanca,Morocco,1,1,7,0
EXP00115,EMP102,Marketing,Manager,MEAL,115.71,MAD,2026-01-20,TUESDAY,0,10,0,Casablanca,Morocco,1,1,6,0
EXP00116,EMP068,Marketing,Director,MEAL,107.16,MAD,2026-01-04,SUNDAY,1,12,0,Fès,Morocco,1,1,6,0
EXP00117,EMP084,Marketing,Senior,CLIENT_MEETING,269.3,MAD,2026-01-28,WEDNESDAY,0,18,0,Fès,Morocco,1,0,5,0
EXP00118,EMP012,IT,Manager,OTHER,241.06,MAD,2026-04-29,WEDNESDAY,0,19,0,Tanger,Morocco,1,1,2,0
EXP00119,EMP139,Finance,Senior,MEAL,178.56,MAD,2026-03-02,MONDAY,0,16,0,Tanger,Morocco,1,1,6,0
EXP00120,EMP095,Sales,Director,CLIENT_MEETING,268.93,MAD,2026-05-06,WEDNESDAY,0,17,0,Tanger,Morocco,1,1,1,0
EXP00121,EMP092,IT,Director,OTHER,247.09,MAD,2026-04-03,FRIDAY,0,9,0,Marrakech,Morocco,1,1,6,0
EXP00122,EMP006,IT,Manager,TRAINING,216.13,MAD,2026-02-01,SUNDAY,1,15,0,Rabat,Morocco,1,1,6,0
EXP00123,EMP056,Sales,Manager,TRAINING,189.41,MAD,2026-05-25,MONDAY,0,11,0,Rabat,Morocco,1,1,2,0
EXP00124,EMP139,HR,Senior,TRAVEL,408.56,MAD,2026-06-02,TUESDAY,0,8,141,Casablanca,Morocco,1,1,2,0
EXP00125,EMP083,IT,Senior,CLIENT_MEETING,200.17,MAD,2026-01-07,WEDNESDAY,0,10,0,Marrakech,Morocco,0,1,2,0
EXP00126,EMP093,Marketing,Junior,FUEL,264.65,MAD,2026-04-18,SATURDAY,1,16,58,Tanger,Morocco,1,1,7,0
EXP00127,EMP016,Finance,Director,HOTEL,856.15,MAD,2026-06-07,SUNDAY,1,8,266,Tanger,Morocco,1,1,1,0
EXP00128,EMP083,Marketing,Senior,OTHER,252.33,MAD,2026-05-06,WEDNESDAY,0,19,0,Casablanca,Morocco,1,1,1,0
EXP00129,EMP136,HR,Director,TRAINING,204.28,MAD,2026-06-09,TUESDAY,0,18,0,Agadir,Morocco,1,1,4,0
EXP00130,EMP142,Operations,Senior,FUEL,343.32,MAD,2026-01-26,MONDAY,0,19,58,Tanger,Morocco,1,1,7,0
EXP00131,EMP025,HR,Director,TRAVEL,442.15,MAD,2026-02-28,SATURDAY,1,14,173,Marrakech,Morocco,1,1,6,0
EXP00132,EMP022,IT,Director,MEAL,170.6,MAD,2026-04-06,MONDAY,0,10,0,Casablanca,Morocco,1,1,1,0
EXP00133,EMP144,HR,Junior,TRAINING,270.55,MAD,2026-04-06,MONDAY,0,10,0,Tanger,Morocco,1,1,5,0
EXP00134,EMP080,HR,Junior,CLIENT_MEETING,270.6,MAD,2026-06-20,SATURDAY,1,14,0,Agadir,Morocco,1,1,3,0
EXP00135,EMP143,HR,Junior,FUEL,454.11,MAD,2026-02-09,MONDAY,0,18,246,Marrakech,Morocco,1,1,7,0
EXP00136,EMP069,IT,Senior,HOTEL,888.16,MAD,2026-04-20,MONDAY,0,16,285,Marrakech,Morocco,0,1,7,0
EXP00137,EMP145,Operations,Director,TRAINING,276.06,MAD,2026-03-21,SATURDAY,1,13,0,Casablanca,Morocco,1,1,2,0
EXP00138,EMP117,HR,Senior,TRAVEL,369.09,MAD,2026-06-12,FRIDAY,0,8,46,Marrakech,Morocco,1,1,4,0
EXP00139,EMP013,Operations,Junior,HOTEL,840.53,MAD,2026-03-25,WEDNESDAY,0,17,43,Marrakech,Morocco,1,1,7,0
EXP00140,EMP132,IT,Manager,MEAL,242.59,MAD,2026-04-19,SUNDAY,1,15,0,Tanger,Morocco,1,1,2,0
EXP00141,EMP012,Sales,Director,MEAL,75.31,MAD,2026-06-23,TUESDAY,0,18,0,Agadir,Morocco,1,1,3,0
EXP00142,EMP084,IT,Junior,HOTEL,831.12,MAD,2026-02-22,SUNDAY,1,12,108,Tanger,Morocco,1,1,3,0
EXP00143,EMP144,Operations,Manager,MEAL,193.56,MAD,2026-02-14,SATURDAY,1,10,0,Casablanca,Morocco,1,1,5,0
EXP00144,EMP148,Finance,Director,HOTEL,821.39,MAD,2026-01-11,SUNDAY,1,14,9,Fès,Morocco,1,1,3,0
EXP00145,EMP118,Operations,Manager,HOTEL,877.18,MAD,2026-03-16,MONDAY,0,9,207,Casablanca,Morocco,0,1,7,0
EXP00146,EMP102,HR,Manager,MEAL,151.82,MAD,2026-01-28,WEDNESDAY,0,11,0,Rabat,Morocco,1,1,1,0
EXP00147,EMP090,HR,Senior,HOTEL,823.94,MAD,2026-02-13,FRIDAY,0,9,261,Rabat,Morocco,1,1,2,0
EXP00148,EMP020,Sales,Director,HOTEL,768.99,MAD,2026-03-07,SATURDAY,1,11,88,Tanger,Morocco,1,1,6,0
EXP00149,EMP081,Sales,Director,FUEL,307.46,MAD,2026-05-29,FRIDAY,0,15,289,Casablanca,Morocco,1,1,3,0
EXP00150,EMP130,IT,Manager,MEAL,118.3,MAD,2026-06-11,THURSDAY,0,12,0,Tanger,Morocco,1,1,3,0
EXP00151,EMP024,Marketing,Director,MEAL,145.41,MAD,2026-01-15,THURSDAY,0,13,0,Tanger,Morocco,1,1,7,0
EXP00152,EMP083,Marketing,Director,OTHER,270.2,MAD,2026-01-11,SUNDAY,1,15,0,Agadir,Morocco,1,1,2,0
EXP00153,EMP022,Marketing,Senior,TRAVEL,434.63,MAD,2026-01-16,FRIDAY,0,15,52,Casablanca,Morocco,1,1,6,0
EXP00154,EMP096,HR,Director,MEAL,131.0,MAD,2026-04-23,THURSDAY,0,15,0,Tanger,Morocco,1,1,3,0
EXP00155,EMP085,IT,Director,HOTEL,823.87,MAD,2026-06-23,TUESDAY,0,17,26,Marrakech,Morocco,1,1,1,0
EXP00156,EMP090,HR,Director,FUEL,249.56,MAD,2026-06-18,THURSDAY,0,17,76,Rabat,Morocco,1,1,2,0
EXP00157,EMP033,Operations,Junior,OTHER,286.71,MAD,2026-01-22,THURSDAY,0,12,0,Fès,Morocco,1,1,3,0
EXP00158,EMP088,Finance,Senior,FUEL,384.89,MAD,2026-05-11,MONDAY,0,13,9,Rabat,Morocco,1,1,2,0
EXP00159,EMP139,Operations,Junior,TRAVEL,441.3,MAD,2026-02-09,MONDAY,0,9,151,Fès,Morocco,1,1,7,0
EXP00160,EMP043,Operations,Director,MEAL,200.68,MAD,2026-06-08,MONDAY,0,10,0,Casablanca,Morocco,1,1,2,0
EXP00161,EMP115,Sales,Senior,MEAL,121.69,MAD,2026-06-23,TUESDAY,0,19,0,Marrakech,Morocco,1,1,3,0
EXP00162,EMP119,HR,Director,MEAL,167.75,MAD,2026-05-01,FRIDAY,0,11,0,Agadir,Morocco,1,1,4,0
EXP00163,EMP096,Marketing,Junior,TRAVEL,430.99,MAD,2026-02-11,WEDNESDAY,0,11,70,Fès,Morocco,1,1,4,0
EXP00164,EMP132,Sales,Director,MEAL,20.35,MAD,2026-02-01,SUNDAY,1,12,0,Casablanca,Morocco,1,1,4,0
EXP00165,EMP014,Finance,Manager,MEAL,109.02,MAD,2026-02-26,THURSDAY,0,15,0,Rabat,Morocco,1,1,4,0
EXP00166,EMP086,Sales,Senior,TRAVEL,465.3,MAD,2026-01-21,WEDNESDAY,0,13,114,Casablanca,Morocco,0,1,7,0
EXP00167,EMP002,IT,Junior,HOTEL,792.79,MAD,2026-05-01,FRIDAY,0,19,71,Marrakech,Morocco,1,1,5,0
EXP00168,EMP029,HR,Senior,MEAL,207.65,MAD,2026-02-08,SUNDAY,1,16,0,Marrakech,Morocco,1,1,4,0
EXP00169,EMP138,IT,Senior,HOTEL,792.57,MAD,2026-03-03,TUESDAY,0,14,234,Fès,Morocco,1,1,4,0
EXP00170,EMP048,Operations,Junior,TRAINING,210.74,MAD,2026-04-20,MONDAY,0,8,0,Agadir,Morocco,1,1,4,0
EXP00171,EMP142,IT,Director,MEAL,168.48,MAD,2026-01-18,SUNDAY,1,16,0,Tanger,Morocco,1,1,5,0
EXP00172,EMP018,HR,Senior,HOTEL,6402.38,MAD,2026-04-10,FRIDAY,0,23,1,Fès,Morocco,0,0,47,1
EXP00173,EMP091,Marketing,Manager,MEAL,175.89,MAD,2026-01-27,TUESDAY,0,17,0,Fès,Morocco,1,1,1,0
EXP00174,EMP118,IT,Manager,HOTEL,855.04,MAD,2026-06-25,THURSDAY,0,15,245,Rabat,Morocco,1,1,1,0
EXP00175,EMP102,Marketing,Director,TRAVEL,6866.97,MAD,2026-02-21,SATURDAY,1,23,5,Marrakech,Morocco,0,0,57,1
EXP00176,EMP070,IT,Manager,HOTEL,7177.31,MAD,2026-06-15,MONDAY,0,3,1,Tanger,Morocco,0,0,46,1
EXP00177,EMP095,Marketing,Manager,TRAVEL,427.47,MAD,2026-04-23,THURSDAY,0,14,173,Casablanca,Morocco,1,1,4,0
EXP00178,EMP084,Operations,Manager,TRAVEL,402.84,MAD,2026-01-21,WEDNESDAY,0,14,92,Marrakech,Morocco,1,1,1,0
EXP00179,EMP091,Marketing,Director,OTHER,230.54,MAD,2026-04-20,MONDAY,0,10,0,Marrakech,Morocco,1,1,1,0
EXP00180,EMP041,IT,Senior,TRAVEL,408.3,MAD,2026-01-15,THURSDAY,0,9,207,Agadir,Morocco,1,1,6,0
EXP00181,EMP094,HR,Director,OFFICE_SUPPLIES,225.11,MAD,2026-04-23,THURSDAY,0,8,0,Agadir,Morocco,1,1,6,0
EXP00182,EMP114,IT,Senior,FUEL,3697.65,MAD,2026-02-09,MONDAY,0,23,0,Agadir,Morocco,0,0,48,1
EXP00183,EMP048,Finance,Director,HOTEL,835.78,MAD,2026-03-22,SUNDAY,1,18,142,Agadir,Morocco,1,1,6,0
EXP00184,EMP126,Sales,Junior,TRAINING,282.51,MAD,2026-03-08,SUNDAY,1,19,0,Rabat,Morocco,1,1,3,0
EXP00185,EMP082,Operations,Manager,MEAL,175.19,MAD,2026-04-26,SUNDAY,1,10,0,Fès,Morocco,1,1,1,0
EXP00186,EMP045,HR,Senior,MEAL,179.89,MAD,2026-05-19,TUESDAY,0,12,0,Casablanca,Morocco,1,1,6,0
EXP00187,EMP147,HR,Director,OTHER,274.41,MAD,2026-02-05,THURSDAY,0,11,0,Agadir,Morocco,1,0,5,0
EXP00188,EMP135,Finance,Director,TRAVEL,451.11,MAD,2026-01-23,FRIDAY,0,9,158,Agadir,Morocco,1,1,4,0
EXP00189,EMP033,Marketing,Senior,TRAVEL,376.34,MAD,2026-03-23,MONDAY,0,18,37,Rabat,Morocco,1,1,3,0
EXP00190,EMP083,Operations,Senior,CLIENT_MEETING,241.29,MAD,2026-01-15,THURSDAY,0,9,0,Marrakech,Morocco,1,1,2,0
EXP00191,EMP071,Sales,Manager,FUEL,343.95,MAD,2026-05-13,WEDNESDAY,0,12,40,Agadir,Morocco,1,1,5,0
EXP00192,EMP087,Marketing,Junior,FUEL,352.22,MAD,2026-05-09,SATURDAY,1,18,86,Casablanca,Morocco,1,1,2,0
EXP00193,EMP008,Finance,Manager,TRAVEL,400.84,MAD,2026-06-14,SUNDAY,1,17,135,Fès,Morocco,1,1,4,0
EXP00194,EMP117,IT,Junior,TRAINING,262.97,MAD,2026-05-04,MONDAY,0,11,0,Rabat,Morocco,1,1,3,0
